p_businesscatentryId_50
837153,1470671,1045199,1081168,1720662,1154664,1209172,1049304,3074457345618590847,1111206,3074457345619196323,1345680,3074457345618721833,1688672,1612669,3074457345619064393,476101,1345690,871370,139493,1209164,3074457345618699321,1108662,3074457345619164821,836218,3074457345619623327,903553,3074457345619260819,904658,1475166,1346656,3074457345619303846,136267,1195760,364382,903691,452411,1638664,1616698,1195738,3074457345618725319,717661,549658,1049190,136599,3074457345618711865,1583155,1216179,1050217,871484
1067652,1145672,980655,871363,1753657,3074457345619319325,903780,903719,1195768,3074457345619328832,903586,3074457345618477827,1044654,1753658,3074457345619328835,1266163,3074457345619676336,1404902,1081164,1169162,903781,1081336,1456657,1345681,903763,3074457345619005833,1622665,3074457345618790823,1737669,903592,3074457345619676335,903759,903678,3074457345619200320,3074457345619369345,3074457345618851821,1218186,871368,3074457345618991848,903739,1705660,3074457345619008327,1746664,871376,1075671,3074457345618848830,1081238,1049290,871444,1294658
1634677,1099163,3074457345619454325,3074457345619285328,3074457345618514830,438597,3074457345619608829,1374172,1361152,1254652,1075674,1053668,1374655,3074457345618884319,1746662,1291173,3074457345619439319,1273702,871448,1014659,3074457345618721829,778255,136724,903750,1111200,3074457345618857323,3074457345619474321,477695,871340,1111230,903714,3074457345619432826,1075675,3074457345619571326,871320,1266162,1616682,444993,1014158,3074457345618789819,3074457345619439325,1211666,454909,1404813,903683,1669163,1456658,3074457345618991853,1209163,1220655
871375,1182155,1086681,1049320,871391,3074457345618507828,3074457345618770855,1654172,1145678,3074457345619449330,903686,1737662,836207,1373155,1261659,871400,3074457345619430331,3074457345618590839,1049240,1049316,903581,3074457345619369823,1655676,1075685,3074457345618927874,1195756,1374168,1622301,3074457345619212822,871469,1382158,3074457345618721837,1454658,1137181,1081232,466632,871339,1095652,1045194,3074457345618709331,3074457345618991856,3074457345618866832,1141159,3074457345619144341,1240174,1558152,3074457345619388832,1681202,836210,1154667
471508,3074457345618583825,1343160,1111234,1549238,1457675,1634688,903589,1091672,703250,446554,1111242,871434,3074457345619329861,1695191,1086695,903598,3074457345618770835,1308657,871387,3074457345618707319,1081344,3074457345619596824,3074457345619618319,468272,1045176,871452,1049326,3074457345619337327,3074457345619416835,3074457345619348325,1081268,1655694,1270660,1038665,3074457345618572329,3074457345618546831,1081184,3074457345618572325,828156,1638295,3074457345618483436,1220654,1737164,1049164,452396,1275656,3074457345618659820,1612666,3074457345619391321
1075672,3074457345619349319,3074457345618866836,1470670,1688662,454898,446556,1099171,1681176,1049218,1671657,903652,1049226,1099169,836209,1086677,1086678,1746659,1033652,1475164,1049314,3074457345618902325,381057,836203,3074457345619571331,1111188,3074457345619008323,1273705,871433,1616680,3074457345618990344,903693,1319654,3074457345619432830,1049254,871477,3074457345618540320,3074457345618770845,1404841,3074457345618970833,3074457345618522821,3074457345619457324,3074457345618642925,1654659,903668,3074457345618975319,3074457345618979819,1133163,1218175,1695177
3074457345618852819,1005658,3074457345619132829,3074457345618853825,3074457345619416833,1074168,871327,903782,1166153,903713,1169164,1024156,1725156,3074457345619008319,1014156,1050659,903721,407397,3074457345619119822,3074457345618642903,1137167,3074457345619376820,1388154,3074457345618857321,468086,836217,3074457345618507830,3074457345619376821,903603,1308656,1186154,1681164,1091663,1291167,1720665,1074175,3074457345619662322,775662,1049174,3074457345618919992,1782652,1616696,1195742,1186176,3074457345618895331,3074457345618576826,3074457345619703826,1111238,454904,903761
1020158,903643,1654181,1137170,903489,3074457345618498334,3074457345618575857,1057652,1345673,3074457345618590865,3074457345619416827,1224164,1414156,3074457345619008329,1729158,1049220,1086686,1177154,903712,903665,1763151,836202,1345687,3074457345619498827,1224160,3074457345619432829,3074457345619516353,1081660,3074457345619454323,3074457345619307822,1195684,1081402,3074457345618509821,903532,1273708,3074457345619033361,1454656,1195770,1705666,1261664,3074457345618851841,665244,1068669,1681188,3074457345619337328,3074457345619385326,1614656,1432452,1049210,3074457345618641822
1224167,903648,3074457345618970831,871401,3074457345618774819,871443,903556,836204,836240,1012659,1688676,1374182,1583157,3074457345618575843,438171,3074457345619616322,1045185,3074457345619113319,542188,3074457345619018323,1475161,1216170,3074457345618642873,3074457345618880335,482989,1156165,1111244,3074457345618851847,1622294,1216183,3074457345619600826,3074457345618519325,1616689,1631174,1616703,903542,3074457345619596823,903506,3074457345619344827,903698,1395660,3074457345619343322,1186166,3074457345619202329,3074457345619373339,1696155,1345676,3074457345619334839,1042154,1626152
1075683,836223,1195668,1291171,836200,871459,871398,3074457345618637319,3074457345619285329,871466,3074457345619005827,1614654,3074457345618576827,3074457345619208361,871397,871410,3074457345618895339,871348,1081216,1292655,1209170,3074457345619279833,1484664,3074457345619212824,3074457345619530823,1705664,1049348,3074457345619488327,1448154,3074457345618903829,3074457345618903321,1111210,1753656,871449,1527155,3074457345619416823,3074457345619613824,478174,3074457345618711878,136598,1345679,1111214,1145674,3074457345619530825,903537,1195672,3074457345619623323,1292656,3074457345619703828,1509678
871486,401509,807944,903582,903611,3074457345618845825,3074457345619369344,1654177,3074457345619349329,1081262,1681196,1113174,3074457345619319329,3074457345619662323,903585,1395280,903736,3074457345619386819,3074457345619198821,3074457345619155819,1075677,3074457345619406826,1291166,1345675,1216174,1216177,1688660,1532652,3074457345619525821,871437,903787,1145688,1225656,1086702,3074457345619284330,3074457345618744819,3074457345618880331,836242,1601659,1049186,3074457345618695319,3074457345619703825,903723,3074457345619136331,3074457345619142820,3074457345619303845,837154,1111168,1186200,1049266
903728,1374658,1244706,1287653,1735654,1049276,3074457345618770843,1374176,871467,3074457345618974321,836229,1218190,903584,1738652,1099167,1224161,1759153,3074457345618895335,1616700,3074457345618699325,3074457345619144333,3074457345618711874,3074457345619348329,1075686,3074457345618590877,3074457345619334844,1432477,3074457345619388831,871475,1705656,903538,3074457345618866839,1145682,1209174,1344154,903577,3074457345618483435,3074457345619600824,3074457345619266320,3074457345619703824,1681158,904660,871430,836236,3074457345619516347,3074457345618575854,1594661,3074457345619439321,462830,1695187
